business,contact_name,phone,email,social,category,demo_url,date_found,outreach_method,outreach_date,status,notes
Luv To Paint,,705-735-6100,,facebook.com/pages/Luv-To-Paint/200126866677048,Painting & Renovation,https://mexemexe02.github.io/luv-to-paint/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
Georgian Detailing,,705-730-5800,,facebook.com/1444589319120912,Auto Detailing,https://mexemexe02.github.io/georgian-detailing/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
Atrium Landscapes,,705-305-4768,,facebook.com/Atrium-Landscapes-448039962326688/,Landscaping,https://mexemexe02.github.io/atrium-landscapes/,2026-06-02,sms,2026-06-03,sent,sent — SMS 6/3 — active FB — FB restricted img
Foxcon Contracting,,705-627-9738,,facebook.com/Foxconcontracting/,General Contracting,https://mexemexe02.github.io/foxcon-contracting/,2026-06-02,sms,2026-06-03,dead,DEAD — already has website (verified domain)
7 Oaks Tree Care,,905-773-1733,,facebook.com/7oakstreecare/,Tree Service / Urban Forestry,https://mexemexe02.github.io/7-oaks-tree-care/,2026-06-03,sms,2026-06-03,dead,DEAD — already has website (verified domain)
Tree Time Outdoor Services,,705-305-4420,,facebook.com/Tree-time-outdoor-services-342286532295086/,Tree Service,https://mexemexe02.github.io/tree-time/,2026-06-03,sms,2026-06-03,sent,sent — SMS 6/3 — active FB — real images
Simcoe Tree Services,,,,,Tree Service,—,2026-06-03,,,dead,needs full research — no phone or info found
Tree Surgeons,,,,,Tree Service,—,2026-06-03,,,dead,needs full research — no phone or info found
Superior Grinderz,,,,,Stump Grinding,—,2026-06-03,,,dead,needs full research — no phone or info found
Lakeside Tree Experts,,,,,Tree Service,—,2026-06-03,,,dead,needs full research — no phone or info found
Ray's Tree Service Ltd.,,,,,Tree Service,—,2026-06-03,,,dead,needs full research — no phone or info found
Tree Removal Barrie,,,,,Tree Removal,—,2026-06-03,,,dead,needs full research — no phone or info found
Lotus Tree Care,,,,,Tree Service,—,2026-06-03,,,dead,needs full research — no phone or info found
Alpa Roof Trusses Barrie,,,,,Roofers,—,2026-06-03,,,dead,address: 149 Welham Rd Barrie ON — needs full research
Fils Rest,Fil,705-726-7818,,,Restaurant,http://yk8k7v8eluzwvorpjmia5t04.178.156.135.237.sslip.io,2026-06-03,sms,2026-06-05,sent,SMS AUDIT 2026-06-08: 705-726-7818 verified YP — CORRECT send. Owner Fil. Re-outreach: call/visit. BROWSER-CONFIRMED Canada411 2026-06-08: 705-726-7818=Fils Rest Duckworth St. CORRECT SMS.
ActRight Roofing,,705-999-9095,,facebook.com/61576707270558/,Roofing,https://mexemexe02.github.io/actright-roofing/,2026-06-05,,,ready,ENRICH 2026-06-08: FB ActRight Roofing/Resellers (low activity). Route: FB DM. Owner unknown.
Clearview Heating & Air,,705-428-3144,,facebook.com/pages/Clearview-Heating-Air-Condition-Supply/1602017150120748,HVAC,https://mexemexe02.github.io/clearview-hvac/,2026-06-05,,,ready,ENRICH 2026-06-08: Stayner ON. FB only. Route: FB DM. See outreach-ready-enrichment.md
Skinner Ink,,,,,Tattoo,https://mexemexe02.github.io/skinner-ink/,2026-06-03,,,live,Demo deployed 2026-06-04
Tattoo Emission,,,,,Tattoo,,2026-06-03,,,new,Verified NO website — needs phone number
Best Pals Grooming,,,,,Pet Grooming,https://mexemexe02.github.io/best-pals-grooming/,2026-06-03,,,live,Demo deployed 2026-06-04
At The Five Resto,,,,,Restaurant,,2026-06-03,,,new,Verified NO website — needs phone number
Express Country Style,,705-730-0944,,,Cafes,https://mexemexe02.github.io/express-country-style/,2026-06-03,sms,2026-06-05,sent,SMS 2026-06-08: CORRECT number 705-730-0944 sent (was wrong to 705-791-6925 Starbucks). Re-outreach complete pending reply. See outreach-sms-audit-and-corrected-list.md BROWSER-CONFIRMED Canada411 2026-06-08: 705-791-6925=Starbucks. Correct 705-730-0944.
Bruno's Bakery &amp; Cafe,,705-315-1661,,facebook.com/BrunosBakeryAndCafe/,Cafes,https://mexemexe02.github.io/brunos-bakery-cafe/,2026-06-03,sms,2026-06-05,dead,DEAD 2026-06-08: Shopify site + FB. Wrong SMS to 705-735-2390. Correct 705-315-1661.
B8's Deli &amp; Caf&eacute; Ole,,249-252-0148,,,Cafes,http://c822bqvxkpf6vviyzb6ecvtc.178.156.135.237.sslip.io,2026-06-03,sms,2026-06-05,sent,"WRONG-NUMBER AUDIT 2026-06-08: SMS went to 249-252-0148. Evidence ties B8's Smokehouse/Deli to 705-487-3885 and 249-252-0148 to Starbucks/ONroute, not B8's. Do not reuse sent number."
Coffee Culture Caf&eacute; &amp; Eatery,,705-458-8500,,,Cafes,https://mexemexe02.github.io/coffee-culture-cafe/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-458-8500. Evidence shows the former Coffee Culture location used 705-733-8228 and appears closed/replaced. Do not reuse sent number.
Thornton Cafe &amp; Ice Cream,,705-458-1500,,facebook.com/thorntonicecream/,Cafes,https://mexemexe02.github.io/thornton-cafe/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER SMS 2026-06-08: sent to 705-718-7816 (Starbucks). Correct 705-458-1500 + FB. Priority FB DM. BROWSER-CONFIRMED Canada411 2026-06-08: 705-718-7816=Starbucks Innisfil. Correct 705-458-1500+FB. FB DM sent 2026-06-08 Humberto personal FB.
Barrie Flooring Centre,,705-792-9445,,,Flooring,https://mexemexe02.github.io/barrie-flooring-centre/,2026-06-03,sms,2026-06-05,dead,DEAD 2026-06-08: barrieflooringcentre.com. Wrong SMS to 705-999-2238.
The Installer &amp; Co,,705-796-3499,,,Flooring,https://mexemexe02.github.io/the-installer-co/,2026-06-03,sms,2026-06-05,sent,SMS 2026-06-08: CORRECT number 705-796-3499 sent (was wrong to 705-466-2244 Hamilton Bros). Re-outreach complete pending reply. BROWSER-CONFIRMED Canada411 2026-06-08.
Desert Tile Canada,,705-466-2122,,,Flooring,https://mexemexe02.github.io/desert-tile-canada/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-466-2122. Evidence ties that number to Hamilton Bros fax. Desert Tile has official site desertile.com and phone 705-730-6989. Do not reuse sent number.
Hamilton Bros Farm &amp; Building Supplies Ltd-TIM-BR Mart,,705-300-0992,,,Flooring,,2026-06-03,,,dead,DEAD — official website found 2026-06-05: hamiltonbros.ca
Daymon Worldwide Canada,,705-795-4742,,,Flooring,https://mexemexe02.github.io/daymon-worldwide-canada/,2026-06-03,sms,2026-06-05,sent,"WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-795-4742. Evidence ties that number to Robert's Hardwood Floors, not Daymon Worldwide Canada. Do not reuse sent number."
Heritage Hardwood Floors,,416-677-7555,,,Flooring,https://mexemexe02.github.io/heritage-hardwood-floors/,2026-06-03,sms,2026-06-05,sent,"WRONG-NUMBER AUDIT 2026-06-08: SMS went to 416-677-7555. Evidence ties that number to Pearl Knstructions/Khushru, not Heritage Hardwood Floors. Do not reuse sent number."
PS Flooring,,705-445-1166,,,Flooring,https://mexemexe02.github.io/ps-flooring/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-445-1166. Evidence ties that number to Hamilton Bros. Building and Farm Supplies. Do not reuse sent number.
Barrie Sandless,,705-466-2122,,,Flooring,https://mexemexe02.github.io/barrie-sandless/,2026-06-03,sms,2026-06-05,sent,"WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-466-2122. Evidence ties that number to Hamilton Bros fax, not Barrie Sandless. Do not reuse sent number."
Giant Carpet,Marc Piltzmaker,705-797-0707,,facebook.com/GiantCarpetBarrie/,Flooring,https://mexemexe02.github.io/giant-carpet/,2026-06-03,,,dead,DEAD 2026-06-08: barriedirect.ca official page. Marc Piltzmaker. Phone was wrong in CSV.
Dubex Flooring,,705-792-5447,,,Flooring,https://mexemexe02.github.io/dubex-flooring/,2026-06-03,sms,2026-06-05,sent,"WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-792-5447. Evidence ties that number to Woodwind South Riding School, not Dubex Flooring. Do not reuse sent number."
Grand Floors Ltd,,705-734-0040,,,Flooring,,2026-06-03,,,dead,DEAD — official website found 2026-06-05: grandfloors.ca
Huronia Hardwood Floors,,705-739-9453,,,Flooring,https://mexemexe02.github.io/huronia-hardwood-floors/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER SMS 2026-06-08: sent to 705-794-5417. Correct 705-739-9453 Yelp.
Gym-con Ltd,,705-794-5417,,,Flooring,,2026-06-03,,,dead,DEAD — official website found 2026-06-05: gym-con.com
Maximum Floor Safety,,705-333-2540,,,Flooring,https://mexemexe02.github.io/maximum-floor-safety/,2026-06-03,sms,2026-06-05,dead,DEAD 2026-06-08: maximumflooringsafety.com. Wrong SMS to 705-333-2540.
Cb Floor Plans,,705-770-3040,,,Flooring,https://mexemexe02.github.io/cb-floor-plans/,2026-06-03,sms,2026-06-05,sent,WRONG-NUMBER AUDIT 2026-06-08: SMS went to 705-770-3040. Evidence ties that number to Just Flooring Direct. CB Floor Plans sources list 705-828-6904. Do not reuse sent number.
Gta Hardwood Specialist,,647-518-7647,,facebook.com/p/NS-Flooring-Contracting-100064703930831/,Flooring,https://mexemexe02.github.io/gta-hardwood-specialist/,2026-06-03,,,ready,ENRICH 2026-06-08: Phone is NS Flooring & Contracting FB. Route: FB DM. See outreach-ready-enrichment.md
Pine River Flooring,,705-305-9712,,,Flooring,https://mexemexe02.github.io/pine-river-flooring/,2026-06-03,,,ready,ENRICH 2026-06-08: Angus area. No owner/social. Route: verify then call.
DG Flooring Plus,,705-725-5878,,,Flooring,https://mexemexe02.github.io/dg-flooring-plus/,2026-06-03,,,ready,ENRICH 2026-06-08: Sparse footprint. Verify active then call.
North Country Wood Floors,,705-725-5878,,,Flooring,https://mexemexe02.github.io/north-country-wood-floors/,2026-06-03,,,dead,Demo deployed 2026-06-05 — fresh search found no official website; GitHub Pages live | DEAD — official live website confirmed by browser-harness 2026-06-05: https://www.northcountryfloorsandhome.ca/profile/
Giant Carpet Flooring Centre,,705-720-0191,,,Flooring,,2026-06-03,,,dead,DEAD — official-style website found 2026-06-05: giant-carpet-flooring-centre.barriedirect.ca
Antrim Carpet And Flooring,,705-720-0191,,,Flooring,,2026-06-03,,,dead,DEAD — official-style website found 2026-06-05: antrim-carpet-flooring.barriedirect.ca
Prestige Classic Painting,Dennis,705-794-8810,,facebook.com/prestigeclassicpainting/,Painters,https://mexemexe02.github.io/prestige-classic-painting/,2026-06-03,,,ready,ENRICH 2026-06-08: Owner Dennis (YP reviews). FB active. Dead domain on YP. Route: FB DM priority.
Barrie Sandblasting,,705-721-4551,,facebook.com/1101473186563013,Painters,https://mexemexe02.github.io/barrie-sandblasting/,2026-06-03,,,ready,ENRICH 2026-06-08: Utopia/Springwater. Phone corrected. Route: FB DM.
Paints N Ladders,,647-836-7715,,,Painters,https://mexemexe02.github.io/paints-n-ladders/,2026-06-03,,,ready,ENRICH 2026-06-08: YP phone corrected. Verify vs Shacor before outreach.
Island Mainland Painting Co,Ray Parsons,705-999-0915,,facebook.com/parsonspainterz/,Painters,https://mexemexe02.github.io/island-mainland-painting/,2026-06-03,,,ready,ENRICH 2026-06-08: Owner Ray Parsons. Muskoka/cottage focus. Route: FB DM top priority.
Dumex Painting,,866-500-1734,,,Painters,http://g548v5yu4bhi0z3ozae0yybr.178.156.135.237.sslip.io,2026-06-03,,,new,Verified NO website — YP + domain check
Pattimore Painting,,705-984-6097,,facebook.com/pattimorepainting/; instagram.com/pattimorepainting/,Painters,https://mexemexe02.github.io/pattimore-painting/,2026-06-05,,,ready,ENRICH 2026-06-08: Homestars says closed — verify. Low priority.
Chadwick&acute;s Painting,Jeff Chadwick,705-733-7151,Jchadwickpainting@gmail.com,facebook.com/chadwickpainting/,Painters,https://mexemexe02.github.io/chadwick-s-painting/,2026-06-03,,,ready,ENRICH 2026-06-08: FB browser-verified Jeff Chadwick 705-733-7151 Jchadwickpainting@gmail.com. Route: FB DM top priority.
Vellinga Painting,,705-791-9877,,facebook.com/728512927322010,Painters,https://mexemexe02.github.io/vellinga-painting/,2026-06-03,,,ready,ENRICH 2026-06-08: Phone corrected. Route: FB DM.
Shacor Painting,,705-719-0719,,facebook.com/1188849051139274,Painters,http://sdw06xaomjfs7em1q26n6bve.178.156.135.237.sslip.io,2026-06-03,,,ready,ENRICH 2026-06-08: 20 Empire Dr. Phone corrected. Route: FB DM.
Ritekote Painting,,705-716-5857,,,Painters,http://kl1gu4uheyb6mq17j55sf4p0.178.156.135.237.sslip.io,2026-06-03,,,dead,Verified NO website — YP + domain check | DEAD — official live website confirmed by browser-harness 2026-06-05: https://ritekote.ca/
Cann-Paint,Reuben Cannard,705-795-4587,cann-paint@sympatico.ca,,Painters,http://m6u5zpdpro3b1bmxxze55f5w.178.156.135.237.sslip.io,2026-06-03,,,dead,DEAD 2026-06-08: cannpaint.wordpress.com. Owner Reuben Cannard.
Ideal Landscape Services,,705-896-0196,,,Landscapers,,2026-06-03,,,dead,DEAD — official website found 2026-06-05: barrielandscaping.ca
Pattison Bros,,905-729-2031,,,Landscapers,https://mexemexe02.github.io/pattison-bros/,2026-06-03,,,ready,ENRICH 2026-06-08: Tottenham. Phone corrected from wrong Ideal Landscape number.
Rocklandscapedesign Pool &amp; Spa,,905-729-2031,,,Landscapers,https://mexemexe02.github.io/rocklandscapedesign-pool-spa/,2026-06-03,,,dead,DEAD 2026-06-08: rocklandscapedesign.ca official website (Elmvale ON).
C &amp; V Concrete,,705-302-3131,,,Landscapers,https://mexemexe02.github.io/c-v-concrete/,2026-06-03,,,dead,Demo deployed 2026-06-05 — fresh search found no official website; GitHub Pages live | DEAD — official live website confirmed by browser-harness 2026-06-05: https://www.cvconcrete.ca/
Down2Earth Home Garden Landscaping And Property Management,,705-323-9464,,,Landscapers,,2026-06-03,,,dead,DEAD — official website found 2026-06-05: down2earthworld.ca
Beverley Turf Farms Ltd,,855-902-0746,,,Landscapers,https://mexemexe02.github.io/beverley-turf-farms-ltd/,2026-06-03,,,new,Demo deployed 2026-06-05 — fresh search found no official website; GitHub Pages live
Dorian Landscape Est 1980,,705-309-1108,,,Landscapers,,2026-06-03,,,new,Verified NO website — YP + domain check
Montgomery Moe Landscaping,,705-309-1108,,,Landscapers,,2026-06-03,,,new,Verified NO website — YP + domain check
RDK Trucking,,705-796-3532,,,Landscapers,,2026-06-03,,,new,Verified NO website — YP + domain check
G&amp;G Landscaping,,705-796-8324,,,Landscapers,,2026-06-03,,,new,Verified NO website — YP + domain check
B Landscaping,,705-739-0756,,,Landscapers,,2026-06-03,,,new,Verified NO website — YP + domain check
Exotic Woodworking,,705-717-0281,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Marlor Contracting,,705-717-0281,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Saldana Contracting,,705-279-3974,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
jmt menuiserie,,705-279-3974,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Canadian Custom Carpentry,,705-331-6168,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Mathias Custom Carpentry,,705-331-7345,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Rosewood Fine Finishes,,705-734-0009,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
MJC Carpentry Ltd,,705-734-0009,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
St-Onge Custom Carpentry,,450-838-9758,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Legrow Carpentry &amp; Contracting,,705-279-8090,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Alter Eagle Mantel &amp; Carpentry,,705-279-8090,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Tiveredge Home Renovations,,705-331-0785,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Classic Country Design,,705-331-0785,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
"Brock Buckingham O,A Buckingham Carpentry",,705-305-5253,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Roth Carpentry,,705-305-5253,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Train Carpentry,,647-822-2870,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Classic Carpentry (Marco),,705-728-1800,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Ginn Family Woodworking,,705-728-1800,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Double xl Woodworking,,705-828-2609,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Pop a Lock Simcoe County,,647-203-4990,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Wolfenden Construction Inc,,705-985-6577,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Carpenter For Rent,,705-985-6577,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Cahill Custom Carpentry,,705-436-7578,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
THE RIGHT ANGLE-Custom Carpentry,,705-436-7578,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Nickle City Carpentry,,705-309-1051,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
Rudy's Pools &amp; Carpentry Shop,,416-706-4899,,,Carpenters,,2026-06-03,,,new,Verified NO website — YP + domain check
North Simcoe Locksmith,,705-333-7830,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Innisfil Locksmith,,705-984-5625,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Adanac Locksmiths,,705-722-1111,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Jonnys Locksmith,,705-431-6708,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Huronia Locksmith Service,,705-431-6708,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Locksmith New Tecumseth,,705-722-5625,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Central Lock &amp; Key,,705-722-5625,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Williams Lock N Key,,705-812-2650,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
A Johnny's Locksmith,,705-726-6667,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Pauls Lock &amp; Security Systems,,705-726-6667,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Sheild Lock And Door Service,,705-726-6667,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Barrie Local Locksmith,,705-322-5183,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Residential Lock &amp; Door Services,,705-322-2902,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Simcoe Locksmith,,705-322-2902,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
ABC Locksmiths Of Barrie,,705-812-2774,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
One Stop Locksmith Barrie,,705-717-1554,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Ea Locksmith Barrie,,705-526-9315,,,Locksmiths,,2026-06-03,,,new,Verified NO website — YP + domain check
Fursure Wildlife &amp; Pest Control,,705-816-2847,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Rentokil Steritech,,249-495-0600,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Netters Inc,,249-495-0600,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Skedaddle Humane Wildl,,866-469-6582,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Hot Air Purification,,705-727-1135,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Absolute Pest Control Management,,705-326-3377,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Enviro-Wise Integrated Pest Management Solutions,,888-794-7378,,,Pest Control,,2026-06-03,,,new,Verified NO website — YP + domain check
Dwinnell's Delivery &amp; Movers Ltd,,705-300-7575,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
TLC Moving &amp; Delivery,,705-726-7919,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Dwinnell's Delivery &amp; Movers,,705-881-9739,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
U-Haul Neighborhood Dealer,,705-881-9739,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Two Small Men With Big Hearts Moving Co,,519-650-0404,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Hunt Family Movers,,705-417-2369,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Storage Bill,,705-322-4156,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
A&amp;Z Storage,,905-476-3058,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
ASE Mobile Storage,,705-331-6959,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Best Barrie Movers,,705-331-9528,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Bayfield Storage Corp,,705-725-8775,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Utopia Self Storage,,705-428-0282,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Zebra Movers Barrie,,416-616-0592,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
3 Experienced Movers,,705-309-4933,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Riley Neil Law,,705-220-0044,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
NP Movers &amp; Delivery,,705-252-2838,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
Two Small Men With Big Hearts Barrie,,705-734-9619,,,Moving Companies,,2026-06-03,,,new,Verified NO website — YP + domain check
DC United Roofing,,705-812-2215,,,Roofing,,2026-06-03,,,dead,DEAD — official live website found 2026-06-05: unitedroofingbarrie.com
Little D's Family Restaurant,,,,,Restaurant,,2026-06-03,,,dead,DEAD — official domain listed on Facebook: littledsrestaurant.com (503 on 2026-06-05)
Patterson Roofing,,,,,Roofing,,2026-06-03,,,dead,DEAD — official live website found 2026-06-05: pattersonroadroofing.com
